nhood,day_of_week,hour_bucket,avg_pickups,max_pickups,min_pickups,nhood_id,hour_bucket_id
Castro/Upper Market,0,0-7,1.68,7.6,0.0,0,0
Castro/Upper Market,0,10-16,5.43,18.4,0.8,0,1
Castro/Upper Market,0,16-19,10.57,38.8,1.8,0,2
Castro/Upper Market,0,19-0,7.88,37.0,0.0,0,3
Castro/Upper Market,0,7-10,7.15,23.0,1.0,0,4
Castro/Upper Market,1,0-7,1.92,10.8,0.0,0,0
Castro/Upper Market,1,10-16,6.07,20.0,0.6,0,1
Castro/Upper Market,1,16-19,11.34,37.8,2.4,0,2
Castro/Upper Market,1,19-0,9.84,37.4,0.2,0,3
Castro/Upper Market,1,7-10,8.25,20.8,1.0,0,4
Castro/Upper Market,2,0-7,2.07,12.0,0.0,0,0
Castro/Upper Market,2,10-16,6.37,20.2,0.4,0,1
Castro/Upper Market,2,16-19,12.78,50.4,3.0,0,2
Castro/Upper Market,2,19-0,11.88,51.2,0.2,0,3
Castro/Upper Market,2,7-10,8.39,24.6,1.4,0,4
Castro/Upper Market,3,0-7,2.11,11.0,0.0,0,0
Castro/Upper Market,3,10-16,6.59,24.75,0.75,0,1
Castro/Upper Market,3,16-19,11.7,30.25,2.75,0,2
Castro/Upper Market,3,19-0,14.31,50.5,0.25,0,3
Castro/Upper Market,3,7-10,8.7,24.5,1.0,0,4
Castro/Upper Market,4,0-7,2.19,12.25,0.0,0,0
Castro/Upper Market,4,10-16,7.38,22.25,0.5,0,1
Castro/Upper Market,4,16-19,14.76,41.25,3.0,0,2
Castro/Upper Market,4,19-0,21.2,85.5,2.0,0,3
Castro/Upper Market,4,7-10,8.15,23.5,2.0,0,4
Castro/Upper Market,5,0-7,2.38,10.75,0.0,0,0
Castro/Upper Market,5,10-16,12.85,39.75,1.25,0,1
Castro/Upper Market,5,16-19,18.57,44.75,4.25,0,2
Castro/Upper Market,5,19-0,21.92,82.75,2.0,0,3
Castro/Upper Market,5,7-10,5.63,21.5,0.25,0,4
Castro/Upper Market,6,0-7,2.69,14.75,0.0,0,0
Castro/Upper Market,6,10-16,11.97,40.75,1.25,0,1
Castro/Upper Market,6,16-19,15.02,35.25,2.0,0,2
Castro/Upper Market,6,19-0,9.16,38.5,0.0,0,3
Castro/Upper Market,6,7-10,4.96,17.5,0.25,0,4
Chinatown,0,0-7,3.02,16.8,0.0,1,0
Chinatown,0,10-16,8.09,18.6,1.6,1,1
Chinatown,0,16-19,18.23,52.2,4.4,1,2
Chinatown,0,19-0,8.02,48.8,0.2,1,3
Chinatown,0,7-10,12.62,40.6,2.2,1,4
Chinatown,1,0-7,2.78,19.4,0.0,1,0
Chinatown,1,10-16,9.28,21.4,1.6,1,1
Chinatown,1,16-19,20.37,76.0,2.2,1,2
Chinatown,1,19-0,10.47,68.8,0.4,1,3
Chinatown,1,7-10,13.67,42.0,1.0,1,4
Chinatown,2,0-7,2.56,13.8,0.0,1,0
Chinatown,2,10-16,9.82,25.6,1.8,1,1
Chinatown,2,16-19,22.66,81.6,3.6,1,2
Chinatown,2,19-0,12.54,75.0,0.4,1,3
Chinatown,2,7-10,13.97,40.6,1.2,1,4
Chinatown,3,0-7,3.33,16.5,0.0,1,0
Chinatown,3,10-16,11.08,26.25,2.0,1,1
Chinatown,3,16-19,20.76,89.25,4.0,1,2
Chinatown,3,19-0,14.31,93.75,0.5,1,3
Chinatown,3,7-10,16.6,52.75,1.25,1,4
Chinatown,4,0-7,3.2,14.25,0.0,1,0
Chinatown,4,10-16,11.67,25.0,2.0,1,1
Chinatown,4,16-19,21.4,87.25,4.5,1,2
Chinatown,4,19-0,17.54,72.75,3.25,1,3
Chinatown,4,7-10,15.86,54.0,2.25,1,4
Chinatown,5,0-7,1.99,6.5,0.25,1,0
Chinatown,5,10-16,11.83,32.25,4.75,1,1
Chinatown,5,16-19,17.96,61.25,5.5,1,2
Chinatown,5,19-0,17.22,67.75,2.75,1,3
Chinatown,5,7-10,5.0,13.75,0.25,1,4
Chinatown,6,0-7,1.8,9.75,0.0,1,0
Chinatown,6,10-16,9.17,21.75,2.75,1,1
Chinatown,6,16-19,10.95,24.25,4.5,1,2
Chinatown,6,19-0,5.99,28.5,0.25,1,3
Chinatown,6,7-10,3.61,11.5,0.5,1,4
Civic Center,0,0-7,3.36,11.4,0.2,2,0
Civic Center,0,10-16,16.1,44.8,6.4,2,1
Civic Center,0,16-19,24.39,55.6,8.4,2,2
Civic Center,0,19-0,12.83,53.2,1.0,2,3
Civic Center,0,7-10,21.88,63.0,4.6,2,4
Civic Center,1,0-7,3.53,13.2,0.2,2,0
Civic Center,1,10-16,18.6,45.6,8.0,2,1
Civic Center,1,16-19,30.8,67.8,9.0,2,2
Civic Center,1,19-0,16.51,61.4,0.4,2,3
Civic Center,1,7-10,22.66,65.4,3.2,2,4
Civic Center,2,0-7,3.48,14.0,0.2,2,0
Civic Center,2,10-16,19.77,47.2,8.4,2,1
Civic Center,2,16-19,32.98,70.0,10.8,2,2
Civic Center,2,19-0,19.83,68.8,0.8,2,3
Civic Center,2,7-10,23.79,70.8,3.8,2,4
Civic Center,3,0-7,4.22,16.25,0.5,2,0
Civic Center,3,10-16,21.88,54.75,7.25,2,1
Civic Center,3,16-19,29.83,63.25,10.75,2,2
Civic Center,3,19-0,23.9,77.5,0.75,2,3
Civic Center,3,7-10,28.05,88.5,4.25,2,4
Civic Center,4,0-7,4.14,17.75,0.5,2,0
Civic Center,4,10-16,21.03,57.75,8.0,2,1
Civic Center,4,16-19,31.66,70.0,13.5,2,2
Civic Center,4,19-0,33.27,89.75,2.5,2,3
Civic Center,4,7-10,23.96,77.25,5.25,2,4
Civic Center,5,0-7,3.47,11.5,0.5,2,0
Civic Center,5,10-16,17.72,43.5,7.5,2,1
Civic Center,5,16-19,33.69,132.5,11.0,2,2
Civic Center,5,19-0,36.23,100.25,4.75,2,3
Civic Center,5,7-10,8.47,18.25,1.25,2,4
Civic Center,6,0-7,4.2,14.5,0.75,2,0
Civic Center,6,10-16,17.58,56.25,7.25,2,1
Civic Center,6,16-19,22.25,46.5,8.5,2,2
Civic Center,6,19-0,10.63,26.25,0.0,2,3
Civic Center,6,7-10,7.25,15.25,2.75,2,4
Eastern SoMa,0,0-7,2.48,24.4,0.0,3,0
Eastern SoMa,0,10-16,11.63,34.0,1.0,3,1
Eastern SoMa,0,16-19,16.42,54.6,3.0,3,2
Eastern SoMa,0,19-0,7.68,39.6,0.0,3,3
Eastern SoMa,0,7-10,17.58,60.8,0.8,3,4
Eastern SoMa,1,0-7,2.44,21.2,0.0,3,0
Eastern SoMa,1,10-16,13.56,39.2,1.4,3,1
Eastern SoMa,1,16-19,18.73,60.6,3.6,3,2
Eastern SoMa,1,19-0,9.96,46.0,0.0,3,3
Eastern SoMa,1,7-10,18.98,70.0,1.2,3,4
Eastern SoMa,2,0-7,2.63,21.0,0.0,3,0
Eastern SoMa,2,10-16,15.5,42.0,1.6,3,1
Eastern SoMa,2,16-19,21.49,70.4,3.8,3,2
Eastern SoMa,2,19-0,12.81,52.6,0.0,3,3
Eastern SoMa,2,7-10,20.81,72.8,1.8,3,4
Eastern SoMa,3,0-7,2.99,27.0,0.0,3,0
Eastern SoMa,3,10-16,17.76,50.25,1.5,3,1
Eastern SoMa,3,16-19,20.7,62.75,2.5,3,2
Eastern SoMa,3,19-0,15.72,67.5,0.25,3,3
Eastern SoMa,3,7-10,24.84,90.25,1.0,3,4
Eastern SoMa,4,0-7,3.03,23.0,0.0,3,0
Eastern SoMa,4,10-16,16.95,50.25,1.5,3,1
Eastern SoMa,4,16-19,24.2,70.25,4.75,3,2
Eastern SoMa,4,19-0,20.5,64.5,0.25,3,3
Eastern SoMa,4,7-10,22.96,96.0,1.0,3,4
Eastern SoMa,5,0-7,2.31,10.5,0.0,3,0
Eastern SoMa,5,10-16,11.86,36.25,2.25,3,1
Eastern SoMa,5,16-19,18.4,54.75,3.75,3,2
Eastern SoMa,5,19-0,19.12,64.75,0.5,3,3
Eastern SoMa,5,7-10,5.66,18.0,0.25,3,4
Eastern SoMa,6,0-7,2.58,14.25,0.0,3,0
Eastern SoMa,6,10-16,10.29,27.5,1.0,3,1
Eastern SoMa,6,16-19,12.9,31.75,2.0,3,2
Eastern SoMa,6,19-0,6.67,34.75,0.0,3,3
Eastern SoMa,6,7-10,4.06,12.75,0.0,3,4
Financial District,0,0-7,3.12,19.8,0.0,4,0
Financial District,0,10-16,9.58,56.2,2.0,4,1
Financial District,0,16-19,12.62,63.4,1.2,4,2
Financial District,0,19-0,4.64,58.4,0.0,4,3
Financial District,0,7-10,14.07,74.0,2.6,4,4
Financial District,1,0-7,2.76,19.6,0.0,4,0
Financial District,1,10-16,11.11,63.8,2.0,4,1
Financial District,1,16-19,13.82,79.0,2.6,4,2
Financial District,1,19-0,5.34,66.0,0.0,4,3
Financial District,1,7-10,14.81,90.4,3.6,4,4
Financial District,2,0-7,2.93,26.2,0.0,4,0
Financial District,2,10-16,12.01,69.0,2.2,4,1
