nhood,day_of_week,hour_bucket,total_travel_time,avg_travel_time,min_travel_time,max_travel_time
Castro/Upper Market,0,0-7,12579.45,449.2660714285715,179.09,1265.88
Castro/Upper Market,0,10-16,28474.62,662.200465116279,255.8,1605.5
Castro/Upper Market,0,16-19,23163.52,723.86,291.61,1775.85
Castro/Upper Market,0,19-0,17887.1,483.4351351351351,175.83,1439.29
Castro/Upper Market,0,7-10,13090.73,484.84185185185186,235.3,1603.5
Castro/Upper Market,1,0-7,7486.44,340.29272727272723,166.5,815.0
Castro/Upper Market,1,10-16,21140.87,587.2463888888889,280.74,1478.14
Castro/Upper Market,1,16-19,23994.6,774.0193548387097,269.75,1751.63
Castro/Upper Market,1,19-0,19165.78,532.3827777777777,206.71,1469.67
Castro/Upper Market,1,7-10,10037.96,456.2709090909091,338.61,833.5
Castro/Upper Market,2,0-7,12309.99,439.6425,161.42,1803.67
Castro/Upper Market,2,10-16,21325.53,561.1981578947368,254.24,1356.63
Castro/Upper Market,2,16-19,27714.510000000002,815.1326470588236,260.64,2213.29
Castro/Upper Market,2,19-0,18838.9,509.1594594594595,216.88,1315.0
Castro/Upper Market,2,7-10,13073.77,522.9508000000001,192.92,1963.33
Castro/Upper Market,3,0-7,6971.12,290.4633333333333,161.69,634.71
Castro/Upper Market,3,10-16,28128.12,654.1423255813953,279.17,1951.67
Castro/Upper Market,3,16-19,31604.84,854.1848648648648,309.82,1895.73
Castro/Upper Market,3,19-0,19858.85,536.7256756756757,217.76,1366.57
Castro/Upper Market,3,7-10,12082.53,483.30120000000005,322.57,1208.14
Castro/Upper Market,4,0-7,10638.19,366.8341379310345,166.71,779.9
Castro/Upper Market,4,10-16,33499.83,744.4406666666667,267.03,1646.33
Castro/Upper Market,4,16-19,25102.9,738.3205882352942,314.33,1812.93
Castro/Upper Market,4,19-0,21765.93,506.18441860465117,192.86,1451.43
Castro/Upper Market,4,7-10,12341.01,474.65423076923076,296.0,1793.0
Castro/Upper Market,5,0-7,12803.99,400.1246875,162.0,822.0
Castro/Upper Market,5,10-16,25919.34,617.1271428571429,252.8,1450.83
Castro/Upper Market,5,16-19,17587.92,517.2917647058823,195.5,2698.14
Castro/Upper Market,5,19-0,23502.670000000002,522.2815555555555,207.64,1450.29
Castro/Upper Market,5,7-10,12936.67,404.2709375,198.67,754.44
Castro/Upper Market,6,0-7,13365.09,417.6590625,167.92,1009.43
Castro/Upper Market,6,10-16,24823.68,620.592,261.23,1846.33
Castro/Upper Market,6,16-19,14940.800000000001,452.7515151515152,250.56,1235.0
Castro/Upper Market,6,19-0,20702.33,530.8289743589744,207.89,1295.0
Castro/Upper Market,6,7-10,10639.86,379.995,158.67,698.57
Chinatown,0,0-7,17001.21,1700.1209999999999,1334.4,1985.27
Chinatown,0,10-16,29098.96,1531.5242105263158,1224.71,2527.88
Chinatown,0,19-0,8677.42,1239.6314285714286,1146.57,1342.29
Chinatown,0,7-10,5851.96,1950.6533333333334,1685.14,2120.25
Chinatown,1,0-7,11843.7,1691.957142857143,1390.88,2199.75
Chinatown,1,10-16,19833.38,1416.67,1199.36,1630.89
Chinatown,1,16-19,2621.67,2621.67,2621.67,2621.67
Chinatown,1,19-0,8230.08,1028.76,262.5,1389.88
Chinatown,1,7-10,10380.890000000001,2076.1780000000003,1669.71,2610.57
Chinatown,2,0-7,15673.14,1567.3139999999999,1240.83,1901.0
Chinatown,2,10-16,31994.07,1599.7035,1234.0,2393.83
Chinatown,2,16-19,4937.0,1645.6666666666667,1529.0,1811.67
Chinatown,2,19-0,5169.700000000001,1292.4250000000002,1244.17,1358.5
Chinatown,2,7-10,2438.4,2438.4,2438.4,2438.4
Chinatown,3,0-7,15292.87,1699.207777777778,1311.75,2374.57
Chinatown,3,10-16,30174.66,1676.37,1238.75,2641.17
Chinatown,3,16-19,1753.83,1753.83,1753.83,1753.83
